date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,lineopen,linemoore,linepower,linenscombo,linel2,linegametime,lineray1,linefox,linedunk,linegirl,linegabe,lineboyd,linemass,linedok,lineblc
11/7/2009,Chicago,93,Charlotte,90,7,7.61,7.55,8.44,7.78,7.5,4,9.4,.,.,5.25,9.35,3,12.72,9.74,.,.,.,6.37,.
11/7/2009,Dallas,129,Toronto,101,7.5,6.41,3.45,3.87,2.95,8.5,3.55,8.9,.,.,5.75,13.13,5,9.91,4.72,.,.,.,6.31,.
11/7/2009,LA Clippers,113,Memphis,110,4,5.73,8.83,6.33,11.05,3.5,4.05,7.6,.,.,6.75,8.79,0.01,6.4,3.71,.,.,.,2.65,.
11/7/2009,Milwaukee,102,New York,87,4,6.23,12.96,11.52,14.71,2.5,5.37,7,.,.,3.5,2.13,7,2.67,5.69,.,.,.,2.73,.
11/7/2009,New Jersey,76,Boston,86,-14,-10.78,-12.8,-10.6,-16.05,-13,-3.77,-8,.,.,-11.25,-9,-9,-14.06,-15.28,.,.,.,-10.81,.
11/7/2009,Utah,99,Sacramento,104,15.5,10.52,10.18,8.06,12.27,15.5,4.05,12,.,.,10.25,17.84,12,14.68,2.69,.,.,.,11.36,.
11/8/2009,Detroit,88,Philadelphia,81,2,2.42,4.55,0.76,8.49,2,4.4,5.9,.,.,2.75,-7.75,5,2.57,1.17,.,.,.,0.88,.
11/8/2009,LA Lakers,104,New orleans,88,6.5,11.77,12.74,12.62,12.94,7.5,7.92,12.1,.,.,10.75,8.1,20,17.09,8.6,.,.,.,7.61,.
11/8/2009,Oklahoma City,102,Orlando,74,-6,-5.7,-3.12,-3.98,-2.42,-6,1.38,-4.9,.,.,-4.75,-11.42,-7,-9.22,-7.27,.,.,.,-7.39,.
11/8/2009,Portland,116,Minnesota,93,13,12.52,12.24,10.59,14.43,12.5,7.03,15.7,.,.,13.75,7.62,17,18.64,4.84,.,.,.,15.63,.
11/8/2009,Sacramento,120,Golden State,107,-3,3.48,7.27,7.83,6.66,-5.5,1.99,6.2,.,.,-0.5,12.1,2,-3.17,5.13,.,.,.,-3.39,.
11/8/2009,Washington,90,Phoenix,102,0,-1.67,-3.1,-6.53,-1.54,1,0.27,3,.,.,0.5,-4.39,-3,1.81,-6.4,.,.,.,-0.38,.
11/9/2009,Golden State,146,Minnesota,105,6,3.25,2.52,2.92,2.15,7,3.06,6.5,.,.,6,-4.63,2,8.03,-3.76,.,.,.,10.25,.
11/9/2009,LA Clippers,84,New orleans,112,-2,2.68,6.75,4.57,8.71,1,5.05,2.6,.,.,2,2,3,-0.41,1.17,.,.,.,-1.88,.
11/9/2009,New York,93,Utah,95,-5.5,-1.2,-0.33,3.26,-3.59,-6,1.42,-2.5,.,.,-2.75,-1.45,-2,-1.86,-1.76,.,.,.,-0.79,.
11/9/2009,Philadelphia,115,Phoenix,119,-2,-2.21,-5.59,-7.54,-6.01,-1,-2.09,0.5,.,.,-0.25,2.09,-4,-4.71,-2.05,.,.,.,1.99,.
11/9/2009,San Antonio,131,Toronto,124,7,5.18,3.74,1.91,5.37,7,4.03,9.7,.,.,6,0.5,4,8.51,3.24,.,.,.,8.58,.
11/10/2009,Charlotte,81,Orlando,93,-3.5,-3.33,-0.98,0.22,-2.31,-3.5,-3.57,-3.3,.,.,-3,-4.56,-3,-2.92,-5.28,.,.,.,-5.58,.
11/10/2009,Chicago,89,Denver,90,-2.5,-0.07,0.76,3.9,-1.47,-1,-2.52,0.3,.,.,0.01,3.39,-5,-0.54,0.84,.,.,.,0.41,.
11/10/2009,Dallas,121,Houston,103,6.5,4.87,1.99,1.83,2.1,7.5,4.49,6.3,.,.,7.25,9.67,1,7.64,1.26,.,.,.,7.18,.
11/10/2009,Memphis,79,Portland,93,-6.5,-6.01,-5.23,-3.81,-7.27,-6,-3.08,-4.3,.,.,-8.25,-4.96,-8,-8.64,-7.43,.,.,.,-4.31,.
11/10/2009,Miami,90,Washington,76,8,8.6,9.38,10.38,8.66,7,6.26,8.6,.,.,6.75,9.8,13,4.51,11.06,.,.,.,7.03,.
11/10/2009,Sacramento,101,Oklahoma City,98,-2,0.48,-1.61,-0.06,-3.92,-1,-1.62,4,.,.,-1.25,5.93,-4,1.22,4.25,.,.,.,0.21,.
11/11/2009,Boston,105,Utah,86,12,11.09,12.05,11.46,12.95,12,9.67,11.2,.,.,10,12.49,10,10.16,12.82,.,.,.,10.18,.
11/11/2009,Detroit,98,Charlotte,75,4.5,4.18,5.8,3.89,7.78,3,6.57,7.9,.,.,4.5,-4.77,4,3.46,3.95,.,.,.,4.52,.
11/11/2009,Houston,104,Memphis,79,9,11.74,12.61,12.1,13.17,7.5,8.19,13.2,.,.,9.25,14.3,12,13.12,14.19,.,.,.,7.88,.
11/11/2009,Indiana,108,Golden State,94,5.5,6.79,8.63,10.28,7.08,4.5,3.53,6.1,.,.,3.25,12.31,9,7.64,6.17,.,.,.,2.51,.
11/11/2009,LA Clippers,79,Oklahoma City,83,2,0.81,-3.02,-0.8,-5.76,2,-1.53,4.1,.,.,1.75,6.82,-6,3.58,2.85,.,.,.,3.13,.
11/11/2009,Milwaukee,108,Denver,102,-3.5,-2.09,-2.07,-4.32,-0.33,-5,-1.3,-4.2,.,.,-5.25,4.7,-3,0.63,-5.72,.,.,.,-2.15,.
11/11/2009,Minnesota,84,Portland,107,-8,-7.28,-8.05,-6.38,-10.41,-8,-3.13,-7.2,.,.,-10,-1.62,-14,-14.13,1.16,.,.,.,-7.1,.
11/11/2009,New Jersey,79,Philadelphia,82,-5.5,-0.85,0.39,0.52,0.11,-5.5,1.32,1,.,.,-4,-4.92,1,3.21,-4.27,.,.,.,-2.43,.
11/11/2009,New York,101,Atlanta,114,-5.5,-5.04,-8.78,-9.33,-8.31,-6,-3.73,-3.6,.,.,-5,-7.62,-5,-0.55,-4.56,.,.,.,-2.73,.
11/11/2009,Orlando,93,Cleveland,102,1.5,4.86,7.82,8.66,6.96,1.5,5.57,4.4,.,.,4.25,5.65,2,3.75,6.8,.,.,.,0.52,.
11/11/2009,Phoenix,124,New orleans,104,6.5,8.97,11.36,14.04,10,6.5,10.21,7.6,.,.,5.5,8.93,10,7.47,11.14,.,.,.,4.82,.
11/11/2009,San Antonio,92,Dallas,83,-1.5,0.46,0.84,1.37,0.03,-1.5,2.08,4.4,.,.,1,-10.17,-3,2.09,1.85,.,.,.,5,.
11/11/2009,Toronto,99,Chicago,89,5.5,2.9,1.69,-1.03,4.09,6,5.4,3.9,.,.,1.75,-0.36,3,8.21,-0.1,.,.,.,4.12,.
11/12/2009,LA Lakers,121,Phoenix,102,7.5,4.15,2.33,0.18,3.14,8,0.88,8.4,.,.,7,2.17,9,.,-0.72,.,.,.,7.31,.
11/12/2009,Miami,104,Cleveland,111,0,3.12,8.58,10.38,6.97,0,4.77,1.8,.,.,0.25,1.39,1,1.04,6.51,.,.,.,-2.91,.
11/13/2009,Boston,86,Atlanta,97,9,8.08,5.41,4.22,6.62,8.5,4.73,10.1,8.61,.,8.25,6.32,7,13.76,10.03,.,.,.,9.26,.
11/13/2009,Denver,105,LA Lakers,79,4,1.35,2.2,1.79,2.45,1,3.87,2.7,0.06,.,0.01,1.47,-3,-1.46,4.62,.,.,.,2.29,.
11/13/2009,LA Clippers,89,Toronto,104,-2.5,-0.74,-2.69,-3.48,-2.01,-3.5,0.78,1,2.17,.,0.01,1.4,-6,1.74,-2.67,.,.,.,-1.07,.
11/13/2009,Minnesota,77,Dallas,89,-10,-8.63,-9.27,-7.73,-11.23,-10.5,-2.91,-7.9,-7.07,.,-11,-11.63,-12,-16.16,-0.17,.,.,.,-7.17,.
11/13/2009,New York,107,Golden State,121,4,2.75,3.29,4.64,2.31,1.5,2.08,3.4,2.45,.,0.01,10.06,1,0.03,2.63,.,.,.,1.65,.
11/13/2009,New orleans,78,Portland,86,-3,-2.07,-2.13,0.08,-5.21,-1,-3.89,0.6,-0.17,.,-2.75,1.74,-10,-0.72,-2.65,.,.,.,0.17,.
11/13/2009,Orlando,88,New Jersey,72,15.5,15.62,17.09,17.28,16.93,15,10.49,15.4,15.62,.,15.5,15.5,13,20.74,14.47,.,.,.,16.84,.
11/13/2009,Philadelphia,90,Utah,112,2.5,2.97,4.23,5.85,2.41,0,3.95,2.4,5.43,.,2,7.5,1,-2.69,3.44,.,.,.,1.38,.
11/13/2009,Sacramento,109,Houston,100,-5,-3.46,-1.17,0.44,-3.04,-4.5,-0.65,-2,-0.77,.,-3.25,-3.49,-9,-11.59,-1.79,.,.,.,-2.93,.
11/14/2009,Atlanta,121,New orleans,98,12.5,10.37,14.05,14.86,13.39,7,9.62,8.6,8,.,7.75,9.69,13,16.38,7.5,.,.,.,5.33,.
11/14/2009,Charlotte,74,Portland,80,-2.5,-3.65,-5.76,-2.97,-9.46,-4,-4.56,-3.9,1.22,.,-5.5,3.78,-10,-2.16,-3.41,.,.,.,-3.23,.
11/14/2009,Chicago,94,Philadelphia,88,6,5.79,9.79,10.61,9.43,6,2.76,8,3.68,.,5.25,1.94,6,5.85,5.49,.,.,.,4.7,.
