,Unnamed: 0,Date,Unnamed: 2,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 7,Notes,game_date,hscore,rscore,date,home,road,line,lineavg,linesag,linesage,linesagp,lineopen,linemoore,linepower,linesaggm,linenutshell,linefox,linedok,linetalis,linegrind,linepugh,linedonc,linegt,linedoi
39,40,"Sun, Nov 2, 2014",Box Score,Toronto Raptors,102,Miami Heat,107,,,2014-11-02 00:00:00,107,102,11/02/2014,Miami,Toronto,2.0,2.82,2.08,1.47,2.68,3.5,2.85,5.5,1.69,-4.5,7.0,8.0,3.68,3.15,4.29,-0.5,2.2,2.67
40,41,"Sun, Nov 2, 2014",Box Score,Charlotte Hornets,93,New York Knicks,96,,,2014-11-02 00:00:00,96,93,11/02/2014,New York,Charlotte,3.5,2.84,2.02,1.41,2.73,2.0,1.35,6.2,1.4,4.0,6.0,3.0,2.21,3.65,0.03,7.0,2.7,-1.06
41,42,"Sun, Nov 2, 2014",Box Score,Golden State Warriors,95,Portland Trail Blazers,90,,,2014-11-02 00:00:00,90,95,11/02/2014,Portland,Golden State,3.5,1.06,2.26,1.21,3.72,4.0,2.8,2.5,1.4,2.77,-3.0,7.0,-0.45,4.3,-5.03,-0.4,0.7,-3.81
42,43,"Mon, Nov 3, 2014",Box Score,Oklahoma City Thunder,85,Brooklyn Nets,116,,,2014-11-03 00:00:00,116,85,11/03/2014,Brooklyn,Oklahoma City,7.0,3.54,2.5,4.0,-0.6,7.5,3.38,-0.9,3.86,12.57,-1.0,1.0,0.0,7.35,-1.13,9.8,4.7,3.78
43,44,"Mon, Nov 3, 2014",Box Score,Boston Celtics,113,Dallas Mavericks,118,,,2014-11-03 00:00:00,118,113,11/03/2014,Dallas,Boston,9.5,8.2,7.95,6.4,13.9,9.0,2.37,14.2,6.73,-4.37,11.0,12.0,11.0,8.62,10.78,11.2,7.8,5.39
44,45,"Mon, Nov 3, 2014",Box Score,Sacramento Kings,110,Denver Nuggets,105,,,2014-11-03 00:00:00,105,110,11/03/2014,Denver,Sacramento,6.5,3.76,9.05,10.2,8.4,8.0,3.33,7.0,10.84,3.55,5.0,8.0,2.0,7.55,-1.93,6.2,4.2,-4.23
45,46,"Mon, Nov 3, 2014",Box Score,Utah Jazz,101,Los Angeles Clippers,107,,,2014-11-03 00:00:00,107,101,11/03/2014,LA Clippers,Utah,9.0,8.16,11.88,12.1,15.3,9.5,3.9,15.0,11.95,3.72,12.0,13.0,12.0,8.95,2.92,10.6,9.2,-2.55
46,47,"Mon, Nov 3, 2014",Box Score,New Orleans Pelicans,81,Memphis Grizzlies,93,,,2014-11-03 00:00:00,93,81,11/03/2014,Memphis,New Orleans,4.0,4.44,2.43,0.8,6.3,6.0,3.42,8.0,-0.01,-4.5,6.0,9.0,7.0,1.06,3.03,12.0,5.0,-1.78
47,48,"Mon, Nov 3, 2014",Box Score,Houston Rockets,104,Philadelphia 76ers,93,,,2014-11-03 00:00:00,93,104,11/03/2014,Philadelphia,Houston,-10.5,-10.9,-10.52,-12.4,-10.7,-10.0,-0.3,-7.9,-12.99,-12.19,-11.0,-10.0,-14.0,-9.87,-20.87,-6.8,,-15.4
48,49,"Tue, Nov 4, 2014",Box Score,Orlando Magic,90,Chicago Bulls,98,,,2014-11-04 00:00:00,98,90,11/04/2014,Chicago,Orlando,11.0,13.41,12.57,13.51,14.91,13.0,5.95,16.8,13.81,12.93,15.0,16.0,,6.53,15.88,15.1,12.5,16.27
49,50,"Tue, Nov 4, 2014",Box Score,Milwaukee Bucks,87,Indiana Pacers,81,,,2014-11-04 00:00:00,81,87,11/04/2014,Indiana,Milwaukee,4.0,5.59,5.46,5.53,7.48,3.0,3.85,10.0,5.12,4.16,4.0,8.0,,-1.87,6.31,14.1,2.7,3.47
50,51,"Tue, Nov 4, 2014",Box Score,Phoenix Suns,112,Los Angeles Lakers,106,,,2014-11-04 00:00:00,106,112,11/04/2014,LA Lakers,Phoenix,-6.5,-3.13,-4.14,-7.31,-1.24,-6.0,0.22,3.4,-7.68,-4.12,-6.0,-3.0,,-3.76,-5.36,-4.0,-1.1,0.32
51,52,"Tue, Nov 4, 2014",Box Score,Houston Rockets,108,Miami Heat,91,,,2014-11-04 00:00:00,91,108,11/04/2014,Miami,Houston,1.5,2.09,3.18,4.14,1.19,0.0,2.33,3.0,4.11,3.14,4.0,3.0,,2.2,-1.78,-2.8,0.6,3.01
52,53,"Tue, Nov 4, 2014",Box Score,Charlotte Hornets,91,New Orleans Pelicans,100,,,2014-11-04 00:00:00,100,91,11/04/2014,New Orleans,Charlotte,4.0,4.45,3.35,2.86,4.52,3.0,3.37,4.4,2.98,14.5,3.0,3.0,,4.5,8.52,-3.2,3.2,7.34
53,54,"Tue, Nov 4, 2014",Box Score,Washington Wizards,98,New York Knicks,83,,,2014-11-04 00:00:00,83,98,11/04/2014,New York,Washington,-1.0,1.52,0.58,0.09,1.24,2.0,1.85,2.5,-0.54,5.0,4.0,1.0,,2.2,-1.38,6.1,0.4,-1.69
54,55,"Tue, Nov 4, 2014",Box Score,Cleveland Cavaliers,82,Portland Trail Blazers,101,,,2014-11-04 00:00:00,101,82,11/04/2014,Portland,Cleveland,-2.0,0.75,-1.82,-5.03,1.29,-1.5,4.0,0.4,-4.95,7.2,3.0,2.0,,-2.05,7.48,-7.9,1.2,5.64
55,56,"Tue, Nov 4, 2014",Box Score,Oklahoma City Thunder,88,Toronto Raptors,100,,,2014-11-04 00:00:00,100,88,11/04/2014,Toronto,Oklahoma City,11.5,8.59,5.18,6.73,2.17,9.0,6.43,2.5,7.12,25.67,5.0,8.0,,10.15,7.82,6.9,10.2,16.39
56,57,"Wed, Nov 5, 2014",Box Score,Toronto Raptors,110,Boston Celtics,107,,,2014-11-05 00:00:00,107,110,11/05/2014,Boston,Toronto,2.0,0.7,3.51,1.7,7.42,0.0,1.28,-1.5,3.29,-3.0,-4.0,-1.47,-4.14,1.55,0.18,-3.5,-1.0,10.17
57,58,"Wed, Nov 5, 2014",Box Score,Minnesota Timberwolves,98,Brooklyn Nets,91,,,2014-11-05 00:00:00,91,98,11/05/2014,Brooklyn,Minnesota,5.0,6.41,9.45,7.33,11.2,5.0,1.91,10.8,10.79,0.15,4.0,3.56,2.1,4.4,-0.86,13.9,4.4,12.99
58,59,"Wed, Nov 5, 2014",Box Score,Miami Heat,89,Charlotte Hornets,96,,,2014-11-05 00:00:00,96,89,11/05/2014,Charlotte,Miami,1.5,-1.29,-3.9,-3.92,-4.06,2.5,0.25,2.6,-3.78,-4.0,-1.0,-2.22,-0.73,0.53,-4.04,5.6,1.5,-2.23
59,60,"Wed, Nov 5, 2014",Box Score,New York Knicks,95,Detroit Pistons,98,,,2014-11-05 00:00:00,98,95,11/05/2014,Detroit,New York,4.0,1.51,2.05,-1.6,5.45,4.0,3.28,-0.1,3.9,0.01,-3.0,2.25,0.03,6.5,-1.47,-5.3,2.5,8.09
60,61,"Wed, Nov 5, 2014",Box Score,Los Angeles Clippers,104,Golden State Warriors,121,,,2014-11-05 00:00:00,121,104,11/05/2014,Golden State,LA Clippers,4.5,8.18,13.01,12.44,13.56,4.5,3.38,5.8,13.47,8.97,7.0,4.11,2.86,0.9,13.33,4.4,4.8,14.61
61,62,"Wed, Nov 5, 2014",Box Score,Chicago Bulls,95,Milwaukee Bucks,86,,,2014-11-05 00:00:00,86,95,11/05/2014,Milwaukee,Chicago,-4.5,-2.27,2.75,0.85,4.63,-7.0,0.8,-6.4,3.11,-3.83,-3.0,-5.14,-6.82,-3.54,-6.22,-11.9,-4.3,5.01
62,63,"Wed, Nov 5, 2014",Box Score,Orlando Magic,91,Philadelphia 76ers,89,,,2014-11-05 00:00:00,89,91,11/05/2014,Philadelphia,Orlando,-3.0,1.65,3.25,2.74,4.14,-1.0,2.85,2.3,2.66,-0.9,1.0,-2.36,-2.45,1.14,-1.26,5.7,0.8,5.09
63,64,"Wed, Nov 5, 2014",Box Score,Memphis Grizzlies,102,Phoenix Suns,91,,,2014-11-05 00:00:00,91,102,11/05/2014,Phoenix,Memphis,-1.5,1.02,0.2,-1.22,0.44,1.0,0.99,1.3,1.04,4.5,3.0,-2.41,3.31,-2.31,-0.23,3.1,0.9,2.65
64,65,"Wed, Nov 5, 2014",Box Score,Denver Nuggets,109,Sacramento Kings,131,,,2014-11-05 00:00:00,131,109,11/05/2014,Sacramento,Denver,4.0,5.54,10.87,11.7,10.59,1.5,3.42,4.2,10.78,2.45,3.0,-0.19,4.04,1.51,8.67,-0.9,2.6,10.4
