,Unnamed: 0,Unnamed: 0.1,Date,Unnamed: 2,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 7,Notes,line_x,game_date,hscore,rscore,date_x,home_x,road_x,line_y,lineavg_x,linesag_x,linesage_x,linesagp_x,lineopen_x,linemoore_x,linepower_x,linenscombo_x,linel2_x,linegametime_x,lineray1_x,linefox_x,linedunk_x,linegirl_x,linegabe_x,lineboyd_x,linemass_x,linedok_x,lineblc_x,line_x,date_y,home_y,road_y,line_y,lineavg_y,linesag_y,linesage_y,linesagp_y,lineopen_y,linemoore_y,linepower_y,linenscombo_y,linel2_y,linegametime_y,lineray1_y,linefox_y,linedunk_y,linegirl_y,linegabe_y,lineboyd_y,linemass_y,linedok_y,lineblc_y
39,39,40,"Sun, Nov 1, 2009",Box Score,Memphis Grizzlies,123,Denver Nuggets,133,,,0,2009-11-01 00:00:00,133,123,11/1/2009,Denver,Memphis,10.5,12.84,15.58,15.85,15.57,12.5,5.05,15.9,.,.,11.25,13.5,13.0,14.92,13.08,.,.,.,10.32,.,0,11/1/2009,Denver,Memphis,10.5,12.84,15.58,15.85,15.57,12.5,5.05,15.9,.,.,11.25,13.5,13.0,14.92,13.08,.,.,.,10.32,.
40,40,41,"Sun, Nov 1, 2009",Box Score,Atlanta Hawks,110,Los Angeles Lakers,118,,,0,2009-11-01 00:00:00,118,110,11/1/2009,LA Lakers,Atlanta,7,6.78,3.55,3.79,3.3,7,1.95,10.2,.,.,7.5,-0.06,14.0,10.84,9.82,.,.,.,6.42,.,0,11/1/2009,LA Lakers,Atlanta,7,6.78,3.55,3.79,3.3,7,1.95,10.2,.,.,7.5,-0.06,14.0,10.84,9.82,.,.,.,6.42,.
41,41,42,"Sun, Nov 1, 2009",Box Score,Chicago Bulls,87,Miami Heat,95,,,0,2009-11-01 00:00:00,95,87,11/1/2009,Miami,Chicago,4.5,5.27,3.25,1.76,4.65,4,4.05,7.9,.,.,4.0,-0.21,11.0,10.2,4.17,.,.,.,5.14,.,0,11/1/2009,Miami,Chicago,4.5,5.27,3.25,1.76,4.65,4,4.05,7.9,.,.,4.0,-0.21,11.0,10.2,4.17,.,.,.,5.14,.
42,42,43,"Sun, Nov 1, 2009",Box Score,Portland Trail Blazers,83,Oklahoma City Thunder,74,,,0,2009-11-01 00:00:00,74,83,11/1/2009,Oklahoma City,Portland,-1.5,-2.42,0.2,0.76,-0.39,-3,3.57,-3.2,.,.,-1.5,-5.79,-9.0,-0.12,-7.33,.,.,.,-1.16,.,0,11/1/2009,Oklahoma City,Portland,-1.5,-2.42,0.2,0.76,-0.39,-3,3.57,-3.2,.,.,-1.5,-5.79,-9.0,-0.12,-7.33,.,.,.,-1.16,.
43,43,44,"Sun, Nov 1, 2009",Box Score,Minnesota Timberwolves,112,Phoenix Suns,120,,,0,2009-11-01 00:00:00,120,112,11/1/2009,Phoenix,Minnesota,13,9.49,11.83,11.08,12.64,13.5,4.05,12.1,.,.,9.25,4.59,11.0,14.26,6.91,.,.,.,9.05,.,0,11/1/2009,Phoenix,Minnesota,13,9.49,11.83,11.08,12.64,13.5,4.05,12.1,.,.,9.25,4.59,11.0,14.26,6.91,.,.,.,9.05,.
44,44,45,"Sun, Nov 1, 2009",Box Score,Orlando Magic,125,Toronto Raptors,116,,,0,2009-11-01 00:00:00,116,125,11/1/2009,Toronto,Orlando,-5.5,-3.96,-3.77,-4.15,-3.41,-5.5,2.4,-1.9,.,.,-1.5,-13.62,-6.0,-5.36,-3.68,.,.,.,-2.37,.,0,11/1/2009,Toronto,Orlando,-5.5,-3.96,-3.77,-4.15,-3.41,-5.5,2.4,-1.9,.,.,-1.5,-13.62,-6.0,-5.36,-3.68,.,.,.,-2.37,.
45,45,46,"Mon, Nov 2, 2009",Box Score,New Jersey Nets,68,Charlotte Bobcats,79,,,0,2009-11-02 00:00:00,79,68,11/2/2009,Charlotte,New Jersey,8,4.35,4.91,6.61,2.7,7,3.05,5.6,.,.,6.5,-0.11,2.0,8.75,3.45,.,.,.,4.98,.,0,11/2/2009,Charlotte,New Jersey,8,4.35,4.91,6.61,2.7,7,3.05,5.6,.,.,6.5,-0.11,2.0,8.75,3.45,.,.,.,4.98,.
46,46,47,"Mon, Nov 2, 2009",Box Score,Minnesota Timberwolves,90,Los Angeles Clippers,93,,,0,2009-11-02 00:00:00,93,90,11/2/2009,LA Clippers,Minnesota,8.5,2.72,2.5,0.67,3.85,8,1.42,7.5,.,.,5.25,4.45,0.01,2.12,-1.57,.,.,.,3.5,.,0,11/2/2009,LA Clippers,Minnesota,8.5,2.72,2.5,0.67,3.85,8,1.42,7.5,.,.,5.25,4.45,0.01,2.12,-1.57,.,.,.,3.5,.
47,47,48,"Mon, Nov 2, 2009",Box Score,New Orleans Hornets,111,New York Knicks,117,,,0,2009-11-02 00:00:00,117,111,11/2/2009,New York,New orleans,-2.5,1.05,-0.66,-0.28,-1.08,-2.5,2.95,-1.5,.,.,-2.25,3.83,6.0,5.29,-3.01,.,.,.,0.55,.,0,11/2/2009,New York,New orleans,-2.5,1.05,-0.66,-0.28,-1.08,-2.5,2.95,-1.5,.,.,-2.25,3.83,6.0,5.29,-3.01,.,.,.,0.55,.
48,48,49,"Mon, Nov 2, 2009",Box Score,Memphis Grizzlies,116,Sacramento Kings,127,OT,,0,2009-11-02 00:00:00,127,116,11/2/2009,Sacramento,Memphis,1,1.68,2.32,1.64,3.12,1,2.95,5.2,.,.,0.5,1.43,-5.0,2.5,3.18,.,.,.,1.24,.,0,11/2/2009,Sacramento,Memphis,1,1.68,2.32,1.64,3.12,1,2.95,5.2,.,.,0.5,1.43,-5.0,2.5,3.18,.,.,.,1.24,.
