"","Date","","Visitor/Neutral","PTS","Home/Neutral","PTS","","Notes"
"126","Mon, Jan 9, 2012","Box Score","Detroit Pistons","68","Chicago Bulls","92","",""
"127","Mon, Jan 9, 2012","Box Score","New Orleans Hornets","94","Denver Nuggets","81","",""
"128","Mon, Jan 9, 2012","Box Score","Atlanta Hawks","106","New Jersey Nets","101","",""
"129","Mon, Jan 9, 2012","Box Score","Charlotte Bobcats","87","New York Knicks","91","",""
"130","Mon, Jan 9, 2012","Box Score","Indiana Pacers","86","Philadelphia 76ers","96","",""
"131","Mon, Jan 9, 2012","Box Score","Minnesota Timberwolves","87","Toronto Raptors","97","",""
"132","Tue, Jan 10, 2012","Box Score","Houston Rockets","82","Charlotte Bobcats","70","",""
"133","Tue, Jan 10, 2012","Box Score","Dallas Mavericks","100","Detroit Pistons","86","",""
"134","Tue, Jan 10, 2012","Box Score","Miami Heat","106","Golden State Warriors","111","OT",""
"135","Tue, Jan 10, 2012","Box Score","Phoenix Suns","83","Los Angeles Lakers","99","",""
"136","Tue, Jan 10, 2012","Box Score","Oklahoma City Thunder","100","Memphis Grizzlies","95","",""
"137","Tue, Jan 10, 2012","Box Score","San Antonio Spurs","103","Milwaukee Bucks","106","",""
"138","Tue, Jan 10, 2012","Box Score","Chicago Bulls","111","Minnesota Timberwolves","100","",""
"139","Tue, Jan 10, 2012","Box Score","Sacramento Kings","85","Philadelphia 76ers","112","",""
"140","Tue, Jan 10, 2012","Box Score","Los Angeles Clippers","97","Portland Trail Blazers","105","",""
"141","Tue, Jan 10, 2012","Box Score","Cleveland Cavaliers","105","Utah Jazz","113","",""
"142","Tue, Jan 10, 2012","Box Score","Toronto Raptors","78","Washington Wizards","93","",""
"143","Wed, Jan 11, 2012","Box Score","Dallas Mavericks","90","Boston Celtics","85","",""
"144","Wed, Jan 11, 2012","Box Score","Washington Wizards","64","Chicago Bulls","78","",""
"145","Wed, Jan 11, 2012","Box Score","New Jersey Nets","115","Denver Nuggets","123","",""
"146","Wed, Jan 11, 2012","Box Score","Atlanta Hawks","84","Indiana Pacers","96","",""
"147","Wed, Jan 11, 2012","Box Score","Miami Heat","89","Los Angeles Clippers","95","OT",""
"148","Wed, Jan 11, 2012","Box Score","Oklahoma City Thunder","95","New Orleans Hornets","85","",""
"149","Wed, Jan 11, 2012","Box Score","Philadelphia 76ers","79","New York Knicks","85","",""
"150","Wed, Jan 11, 2012","Box Score","Orlando Magic","107","Portland Trail Blazers","104","",""
"151","Wed, Jan 11, 2012","Box Score","Houston Rockets","95","San Antonio Spurs","101","OT",""
"152","Wed, Jan 11, 2012","Box Score","Sacramento Kings","98","Toronto Raptors","91","",""
"153","Wed, Jan 11, 2012","Box Score","Los Angeles Lakers","90","Utah Jazz","87","OT",""
