date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,lineopen,linemoore,linepower,linesaggm,linenutshell,linefox,linedok,linetalis,linegrind,linepugh,linedonc,linegt,linedoi
11/09/2014,Dallas,96,Miami,105,8,4.32,3.84,3.9,5.38,6.5,1.89,8.1,2.71,-4.75,4,4.12,3.53,6.76,5.95,7.9,5.4,6.05
11/09/2014,Detroit,96,Utah,97,3.5,2.36,1.61,1.52,-0.29,4.5,1.81,4.7,2.94,5.42,5,-0.55,3.17,3.9,-2.43,1.6,4.6,2.35
11/09/2014,LA Lakers,107,Charlotte,92,-3,-2,-2.33,-3.37,-0.96,-4,0.16,1.4,-2.93,1.5,-4,-7.9,-4.44,-1.19,-4.72,-1.4,-0.8,0.97
11/09/2014,Oklahoma City,101,Sacramento,93,-2,-1.65,-3.71,-5.31,-2.82,-3.5,-1.35,12,-3.03,-9.73,0.01,-4.81,7.01,-0.75,-7.52,-1.3,-1.8,
11/09/2014,Phoenix,107,Golden State,95,-1,-5.07,-8.63,-8.51,-9.31,-1,-0.59,-4,-8.38,1.78,-5,-7.94,-0.31,0.69,-17.87,-0.9,-2.8,-4.24
11/09/2014,Portland,116,Denver,100,9,10.4,11.65,9.71,15.38,8,7.1,11.5,11.48,10.52,11,7.41,9.06,1.51,21.71,7.3,9,11.61
11/09/2014,Toronto,120,Philadelphia,88,13.5,15.21,15.24,16.32,14.39,15,9.1,16.2,15.4,27.55,16,15.11,17.21,10.64,19.5,11,13.2,11.33
11/10/2014,Chicago,102,Detroit,91,9,10.07,11.2,11.49,11.83,9,9.47,15.5,10.43,9.5,10,11.59,8.58,2.22,11.59,10.1,9,8.56
11/10/2014,Cleveland,118,New Orleans,111,5.5,3.21,0.97,1.22,1.32,8,-0.22,11,0.43,-9.1,4,4.75,2.07,7.12,-1.84,18.8,6.5,1.16
11/10/2014,Indiana,97,Utah,86,2.5,2.97,1.94,-1.52,3.42,2,3.18,7.7,3.68,2.47,7,-0.67,6.43,-2.35,1.11,6.9,2.6,2.66
11/10/2014,LA Clippers,85,San Antonio,89,2,2.98,5.23,6.43,4.46,2.5,4.41,3.5,4.67,1.39,-3,1.06,0.53,4.47,6.63,0.2,1.2,3.58
11/10/2014,New York,85,Atlanta,91,-1.5,-0.13,-0.82,0.39,-2.91,1,-1.21,5.8,-0.47,-1.84,3,-5.23,2.4,-2.99,-4.5,7.1,0.6,-1.26
11/11/2014,Dallas,106,Sacramento,98,7.5,5.44,3.67,2.48,5.15,7.5,3.8,11.6,3.61,2.67,5,6.92,8,6.71,4.33,6.8,5.8,4.99
11/11/2014,Golden State,100,San Antonio,113,7,8.49,13.53,12.37,13.79,5,7.89,4.6,14.54,9.64,3,4.77,1.23,7.12,21.51,4.4,3.7,5.24
11/11/2014,Memphis,107,LA Lakers,102,9.5,12.32,15.11,15.38,14.39,11.5,9.57,11.8,16,13.37,11,12.39,12.12,7.07,15.05,10,9.2,12.37
11/11/2014,Milwaukee,85,Oklahoma City,78,3.5,2.5,4.78,3.91,5.67,4.5,5.9,-4.5,5,10.29,0.01,2.02,-7.35,3.33,4.91,-2.9,4.8,1.63
11/11/2014,Portland,102,Charlotte,100,7,8.63,9.91,7.92,11.48,8,6.51,9.2,11.11,7.31,9,7.73,5.73,7.8,14.5,6,8.1,7.08
11/11/2014,Toronto,104,Orlando,100,11,13.37,14.44,14.4,15.27,11.5,10.05,13.5,13.88,22.8,14,11.57,11.23,9.58,16.22,11.1,12,10.56
11/12/2014,Atlanta,100,Utah,97,7.5,7.56,8.42,6.81,8.51,8,6.19,9.1,10.36,9.39,11,4.89,5.72,7.87,4.81,6.2,7.5,6.65
11/12/2014,Boston,94,Oklahoma City,109,6,6.16,9.22,9.1,10.79,6,7.13,-1.5,8.05,17.43,1,7.5,-4.43,4.59,12.15,0.5,6.2,4.6
11/12/2014,Denver,113,Portland,130,3,-4.71,-7.09,-5.55,-8.52,-1,-2.43,-1.5,-7.64,-4.58,-4,-1.7,-4.2,0.51,-14.97,-2,-3.6,-3.38
11/12/2014,Miami,75,Indiana,81,8.5,9.49,11.12,12.93,9.95,8,8.21,9.7,10.62,17.78,10,7.74,6.49,11,11.52,0.2,7.2,7.95
11/12/2014,Minnesota,101,Houston,113,-6.5,-6.06,-6.71,-6.46,-6.33,-6.5,-0.83,-4.4,-7.68,-5.09,-4,-8.49,,-3.34,-10.54,-10.1,-6.6,-4.22
11/12/2014,New Orleans,109,LA Lakers,102,10.5,9.2,10.22,9.77,9.86,10.5,6.95,8.5,11.34,15.04,8,9.44,8.33,9.45,14.29,0.6,6.5,9.67
11/12/2014,New York,95,Orlando,97,6,4.7,0.76,1.51,-0.32,7.5,2.26,8.7,0.94,7.67,7,3.16,6.67,6.89,0.56,12.4,5.6,6.72
11/12/2014,Phoenix,112,Brooklyn,104,4.5,2.74,1.89,3.85,-0.12,4.5,1.51,3.2,1.56,6.07,4,1.95,4.53,5.21,-2.03,1.3,4.4,3.78
11/12/2014,Washington,107,Detroit,103,6.5,9.47,12.69,14.05,11.6,7.5,7.68,14.2,12.4,7.27,10,6.53,8.45,3.31,10.67,8.6,7.2,7.37
11/13/2014,Dallas,123,Philadelphia,70,14,15.23,15.5,16.42,15.84,15,9.26,17.5,14.35,18.23,16,16.56,,12.1,18.74,12.6,14.2,15.91
11/13/2014,Golden State,107,Brooklyn,99,10.5,9.72,10.13,10.76,9.38,8.5,4.66,9.8,10.5,9.43,9,8.71,,10.23,19.22,5.8,8.9,9.58
11/13/2014,Memphis,111,Sacramento,110,6,5.88,5.88,7.12,5.69,6.5,5.09,10.3,5.28,6.56,6,4.95,,5.54,0.44,7.9,6.4,5.17
11/13/2014,Toronto,93,Chicago,100,2.5,4.94,7.85,7.89,8.01,2,2.31,3.5,7.7,10.76,5,0.23,,1.84,10.17,-0.7,3,1.59
11/14/2014,Atlanta,114,Miami,103,4.5,0.55,0.78,1.04,1.41,3,0.52,2.1,-0.24,-4.86,0.01,-0.03,-1.76,3.72,-1.09,1.3,3.6,1.78
11/14/2014,Boston,121,Cleveland,122,-5,0.66,3.44,2.79,4.18,-5,3.88,-3.9,3.45,11.57,-3,-6.82,-0.7,-7.84,10.15,-2.6,-2.8,-1.89
11/14/2014,Houston,88,Philadelphia,87,17,20.1,22.85,22.03,24.23,16.5,10.93,19.8,23.65,26.32,24,19.83,20.48,14.24,23.64,14.1,17.2,18.13
11/14/2014,Indiana,87,Denver,108,3,4.77,8.54,7.95,8.02,2.5,3.8,7.5,9.76,3.36,5,-1.94,6.03,-2,7.33,4.7,3,0.56
11/14/2014,LA Lakers,80,San Antonio,93,-8,-5.46,-4.82,-6.24,-4.58,-7.5,1.09,-5.6,-3.74,-0.87,-11,-9.3,-11.59,-4.67,-5.5,-3.9,-5.9,-5.28
11/14/2014,New Orleans,139,Minnesota,91,8,5.36,5.05,6.41,4.91,6.5,4.28,8.8,3.7,8.56,3,3.51,-0.08,7.43,7.72,5.6,5,6.51
11/14/2014,New York,100,Utah,102,4,2.14,-1.12,-1.07,-1.31,3,1.18,8,-1.01,4.55,7,0.27,5.31,2.3,-3.06,4.5,4.2,2.38
11/14/2014,Oklahoma City,89,Detroit,96,3,5.28,6.94,8.46,6.08,2.5,3.24,14.2,6.25,-4.46,8,3.21,9.62,0.77,5.79,4.2,1.6,
11/14/2014,Orlando,101,Milwaukee,85,2.5,0.92,0.26,0.31,0.43,2,-0.21,5.3,0.04,-2.37,1,-0.14,3.79,1.14,1.59,1,1.4,0.2
11/14/2014,Phoenix,95,Charlotte,103,7.5,5.09,6.12,6.92,5.14,5.5,3.27,4,6.23,8.65,6,3.61,5.57,6.28,1.04,5.4,4.3,3.79
11/15/2014,Chicago,90,Indiana,99,9,9.63,9.79,11.45,9.45,9.5,9.17,12.4,8.49,12.38,10,10.07,5.31,12.4,8.05,6.8,11.6,7.12
11/15/2014,Cleveland,127,Atlanta,94,7.5,3.76,2.19,2.41,1.44,7.5,0.69,11.4,2.64,-0.53,4,5.49,2.61,7.64,0.55,6.8,5.4,3.64
11/15/2014,Dallas,131,Minnesota,117,11.5,10.6,12.37,9.87,15.25,10.5,6.94,14.7,13.68,12.88,11,10.68,4.59,8.82,12.38,8.1,10.5,7.23
11/15/2014,Golden State,112,Charlotte,87,10.5,10.84,11.08,10.74,10.46,10,5.81,9.8,12.12,13.11,10,9.89,8.21,11.85,22.29,8.3,8,10.96
11/15/2014,LA Clippers,120,Phoenix,107,7,3.98,1.94,2.71,2.44,6.5,2.65,11,0.52,1.33,4,4.45,4.53,,9.74,2.3,5.4,2.68
11/15/2014,Memphis,95,Detroit,88,9.5,10.79,11.36,14.31,10.34,9.5,9.8,11.9,10.23,18.29,11,8.6,9.12,6.76,13.76,8.7,7.5,10.23
11/15/2014,Portland,97,Brooklyn,87,3.5,6.75,7.45,7.8,8.31,6,5.8,8.6,6.77,4.89,6,4.91,4.64,4.4,11.43,5.7,8.7,5.83
11/15/2014,Sacramento,94,San Antonio,91,-1.5,-0.68,1.51,0.76,1.24,-2.5,5.31,-4.5,2.45,-4.09,-6,-3.93,-6.49,0.22,9.11,-1.6,-3.1,-1.1
11/15/2014,Toronto,111,Utah,93,11.5,10.29,9.87,9.23,10.23,10,8.68,11.9,10.27,17.37,11,8.17,10.01,8.29,12.59,7.8,10,8.98
11/15/2014,Washington,98,Orlando,93,9,8.81,6.37,7.81,5.26,9,7.04,12.4,5.94,13.95,8,11.67,9.13,9.81,8.5,8.2,9.1,9.04
11/16/2014,LA Lakers,115,Golden State,136,-8,-9.45,-12.18,-11.91,-11.17,-7.5,-3.96,-4,-13.79,-11.43,-10,-12.01,-10.18,-4.5,-14.3,-5.4,-6.1,-10.88
11/16/2014,Miami,84,Milwaukee,91,5,8.18,6.41,6.33,6.32,5,6.58,11.7,6.63,12.57,8,5.98,12.4,8.09,9.36,7.6,6.3,8.37
11/16/2014,New York,109,Denver,93,1.5,1.35,0.03,-0.23,-0.57,1,0.56,5.5,0.98,0.68,2,-2.21,4.91,0.22,-0.38,4.5,2,2.25
11/16/2014,Oklahoma City,65,Houston,69,-5,-6.21,-7.66,-8.1,-6.29,-5,-4.28,3.1,-8.84,-16.96,-4,-9.9,-0.61,-3.27,-7.76,-4.9,-5.2,-8.46
11/17/2014,Boston,114,Phoenix,118,-2,0.95,3.39,1.76,4.4,0,3.47,4.2,4.21,-0.5,-2,-1.56,-4.2,-2.34,4.8,-0.7,0.9,-1.53
11/17/2014,Brooklyn,83,Miami,95,7,2.31,3.35,1.22,4.35,5.5,0.72,4.2,4.77,-3.14,4,2.55,0.47,2.02,3.19,1.6,2.3,3.09
11/17/2014,Charlotte,80,Dallas,107,-3.5,-3.27,-4.48,-2.85,-6.22,1.5,-1.41,-0.2,-5.19,-2.96,-3,-7.21,-1.67,-1.62,-6.31,-1.1,-1.5,-3.36
11/17/2014,Cleveland,97,Denver,106,11.5,10.01,11.35,11.25,10.66,11.5,4.9,14.1,12.29,7.76,10,10.09,5.78,12.89,10.43,8.7,8.5,11.49
11/17/2014,Detroit,93,Orlando,107,4,2.87,0.43,0.07,0.83,4.5,2.44,4.7,0.37,4.76,2,1.23,4.15,7.32,1.24,4.7,5.2,3.61
11/17/2014,LA Clippers,89,Chicago,105,5.5,2.93,1.38,2.04,1.12,4,-1.1,4.7,0.9,0.45,6,2.09,6.11,8.79,4.25,0.9,1.9,4.43
11/17/2014,Memphis,119,Houston,93,4,0.26,-0.61,1.31,-0.5,2.5,2.81,2.3,-2.05,-0.28,1,-0.64,-0.76,3.14,-2.11,-0.5,1.3,-0.52
11/17/2014,Portland,102,New Orleans,93,3,4.72,4.9,4.57,4.51,4,4.94,7.7,5.83,-0.08,4,1.23,5.63,-2.67,12.16,6.8,6.7,4.63
11/17/2014,San Antonio,100,Philadelphia,75,16.5,17.47,16.31,16.89,17.5,17,5.75,20.8,14.94,30.07,23,18.96,22.29,14.05,17.24,12.7,16.6,14.96
11/18/2014,Atlanta,109,LA Lakers,114,9,8.4,9.55,9.71,7.81,9,7.49,7.9,11.42,8.43,7,8.59,8.4,9.17,7.94,7.2,6.9,8.47
11/18/2014,Milwaukee,117,New York,113,2,4.17,6.96,7.5,6.01,4,5.94,2.8,7.34,10.18,3,0.52,-2.7,3.54,6.46,0.3,2.4,2.36
